institution,name,rank,area,degree,degree_year,school,start,annotation,listing
Abilene Christian Univ,"Lytle, Richard S.",Dean,Mktg,PHD,94,Ariz St,1991,,
Abilene Christian Univ,"Fowler, Bill E.",C-As,,MS,83,Walsh,1990,,
Abilene Christian Univ,"Griggs, Jack A.",Prof,FMPX,PHD,71,Tx-Austin,1-91,,
Abilene Christian Univ,"Pope, Terry",Assoc,C,PHD,69,So Meth,8-92,,
Abilene Christian Univ,"Stewart, Jonathan",Asst,LMPY,PHD,96,Tx Tech,9-96,,
Adelphi University,"Libertella, Anthony F.",Dean,Mgt,PHD,72,Ohio St,2000,,1998-1999
Adelphi University,"Swensen, R. Bruce",Assoc,M,DSW,82,Columbia,,,1998-1999
Adelphi University,"Heinowitz, Harvey J.",Asst,T,MBA,75,Adelphi,,,1998-1999
Adrian College,"Bachman, William",C-Pr,LNQ,ABD,73,Kentucky,8-81,,2000-2001
Adrian College,"Nalepka, William T.",Asst,,MBA,76,E Mich,8-96,,2000-2001
University of Akron,"Hallam, Stephen F.",Dean,Mgt,PHD,74,Iowa,7-95,,
University of Akron,"Redle, David A.",C-Pr,,JD,80,Akron,,,
University of Akron,"Akhigbe, Aigbe",Prof,DGPS,PHD,91,Houston,2000,,
University of Akron,"Durst, David R.",Prof,PR,DBA,72,Geo St,9-68,,
University of Akron,"Kudla, Ronald J.",Prof,DFG,PHD,78,Pittsburgh,1978,,
University of Akron,"Kahl, Douglas R.",Assoc,LMN,PHD,81,Iowa,9-89,,
University of Akron,"Lahey, Karen E.",Assoc,&,PHD,85,Fla St,1991,Charles Herberich Associate Professor of Real Estate,
University of Akron,"Ramcharran, Harridutt",Assoc,UVW,PHD,78,SUNY-Bin,9-86,,
University of Akron,"Kim, D.",Asst,VWJ,PHD,0,Drexel,2000,,
University of Akron,"Neuman, Melinda",Asst,CDEG,PHD,0,Mich St,2000,,
University of Akron,"Hruby, George",Inst,,MBA,97,Clev St,1997,,
University of Alabama,"Mason, J. Barry",Dean,Mktg,PHD,67,Alabama,1967,Russell Professsor of Business Administration,
University of Alabama,"Helms, Billy P.",H-Pr,,PHD,73,Tennessee,1973,,
University of Alabama,"Agrawal, Anup",Prof,,PHD,86,Pittsburgh,1999,"William A. Powell, Jr. Chair of Finance & Banking",
University of Alabama,"Brooks, Robert E.",Prof,L,PHD,86,Florida,1989,,
University of Alabama,"Gup, Benton E.",Prof,,PHD,66,Cincinnati,1983,Robert Hunt Cochrane/Alabama Bankers Chair,
University of Alabama,"McLeod, Robert W.",Prof,SX,PHD,77,Tx-Austin,8-78,,
University of Alabama,"Page, Frank H. Jr.",Prof,,PHD,80,Illinois,1990,,
University of Alabama,"Schlesinger, Harris",Prof,,PHD,80,Illinois,1987,Frank Park Samford Chair of Insurance,
University of Alabama,"Zumpano, Leonard V.",Prof,,PHD,76,Penn St,1975,Chair of Real Estate,
University of Alabama,"Carroll, Carolyn",Assoc,,PHD,85,Illinois,1984,,
University of Alabama,"Downs, Thomas W.",Assoc,,PHD,82,Purdue,1989,,
University of Alabama,"Ligon, James A.",Assoc,,PHD,91,Penn,1991,,
U of Alabama at Birmingham,"Holmes, Robert E.",Dean,Mgt,PHD,71,Arkansas,1-99,,
U of Alabama at Birmingham,"Burns, Richard M.",C-Ac,CI,PHD,86,Georgia,9-87,,
U of Alabama at Birmingham,"Fetherston, Thomas A.",Prof,VS,PHD,85,Rutgers,9-87,,
U of Alabama at Birmingham,"Walker, Joe",Assoc,CI,PHD,79,Tx A&M,9-87,,
U of Alabama at Birmingham,"Nail, Lance A.",Asst,AG,PHD,96,Georgia,9-96,,
U of Alabama in Huntsville,"Billings, C. David",Dean,Econ,PHD,69,Missouri,1981,,
U of Alabama in Huntsville,"Wilhite, Allen W.",C-Pr,Econ,PHD,81,Illinois,1988,,
U of Alabama in Huntsville,"Evans, Dorla A.",Prof,N,PHD,85,Arkansas,1991,,
U of Alabama in Huntsville,"Burnett, John E.",Assoc,F,PHD,92,Alabama,1992,,
Alabama A&M University,"Jones, Barbara A. P.",Dean,Econ,PHD,73,Geo St,1997,,
Alabama A&M University,"Rahimian, Eric N.",C-Pr,,PHD,75,Indiana,1975,,
Alabama A&M University,"Alexander, James G.",Prof,,PHD,91,Tx-Austin,1983,,
Alabama A&M University,"Elike, Uchenna I.",Assoc,,PHD,85,Alabama,1985,,
Alabama A&M University,"Robbani, Mohammad G.",Asst,JKLV,PHD,94,Fla Intl,9-94,,
Alabama A&M University,"Yousif, Salah A.",Asst,,MA,67,Howard,1976,,
Alabama A&M University,"Adcock, Marvin",Inst,,MS,99,Alab A&M,8-99,,
Alabama A&M University,"Briggs, Charles",Inst,BNPY,MS,86,Alab A&M,8-86,,
Alabama A&M University,"Gebremikael, Fesseha",Inst,,MS,95,Alab A&M,8-98,,
Alabama State University,"Vaughn, Percy J. Jr.",Dean,Mktg,DBA,75,Tx Tech,1974,,
Alabama State University,"Crawford, Jean G.",C-Pr,Atg,PHD,87,Alabama,1989,,
Alabama State University,"Huang, Gow-Cheng",Assoc,F,PHD,91,Alabama,1989,,
Alabama State University,"Bradford, Jorja",Asst,,MBA,98,Aub-Mont,1999,,
Alabama State University,"Montgomery, Walter",Asst,,MBA,74,Atlanta,1993,,
Alabama State University,"Sailors, J. Franklin",Asst,CF,PHD,85,Georgia,1994,,
"Univ of Alaska, Anchorage","Green, G. Hayden",Dean,,PHD,76,Arkansas,1974,,
"Univ of Alaska, Anchorage","Srivastava, Suresh C.",C-Pr,,PHD,87,Maryland,1987,,
"Univ of Alaska, Anchorage","Essayyad, Musa",Prof,MOSW,PHD,85,Alabama,1985,William H. Seward Professor of International Finance,
Univ of Alaska - Fairbanks,"Collins, James M.",D-Ac,Mgt,PHD,91,Tx-Austin,1991,,
Univ of Alaska - Fairbanks,"Harikumar, T.",Prof,AD,PHD,87,Houston,1991,,
Univ of Alaska - Fairbanks,"Lindahl, Mary R.",Prof,,PHD,75,Illinois,1986,,
Univ of Alaska - Fairbanks,"Chiang, Chun-Hsiung",Asst,JMS,PHD,0,LSU,2000,,
Univ of Alaska Southeast,"Schmidt, Karen",Dean,,PHD,,,,,1998-1999
Univ of Alaska Southeast,"Roberts, Wayne A. Jr.",Assoc,,PHD,89,Arizona,1984,Hugh Roy and Lillie Cullen Chair in Economics,1998-1999
Albany State University,"Ojemakinde, Abiodun",Dean,,PHD,89,LSU,9-89,,1998-1999
Albany State University,"Olandunjoye, G. Titi",C-Pr,,PHD,81,Bowl Gr,9-97,,1998-1999
Albany State University,"Said, Hassan A.",Assoc,,PHD,94,Alabama,9-98,,1998-1999
Albion College,"Christiansen, Daniel S.",C-Pr,Econ,PHD,75,Stanford,1981,,
Albion College,"Bedient, John B.",Assoc,IU,MBA,78,Indiana,1984,,
Albion College,"Hooks, Jon A.",Asst,,PHD,89,Mich St,1989,,
Albright College,"Bell, Christine A.",C-As,Mktg,MBA,77,Temple,1989,,
Albright College,"Martin, David A.",Assoc,,DA,80,Lehigh,1983,,
Alfred University,"Duserick, Frank",Dean$,,MBA,73,Harvard,1978,,
Alfred University,"Robana, Abderrahman",Prof,,PHD,71,NYU,,,
Alfred University,"Booker, James F.",Asst,,PHD,90,Colo St,1993,,
Alliant University,"Stavenga, Mink H.",Dean,,DBA,84,US Intl,1-86,,2000-2001
Alliant University,"Khalil, Mohamed",Prof,,PHD,92,Wash St,9-72,,2000-2001
Alliant University,"Rahman, Hamid",Assoc,,PHD,88,Syracuse,,,2000-2001
Alma College,"Trebesh, Michael F.",C-Pr,Atg,MBA,76,Mich St,1982,,
American College,"Woerheide, Walter J.",D-Pr,MSXY,PHD,77,Wash U,,,
American College,"Bird, Roger C.",Prof,JMRS,PHD,69,Penn,,Frank M. Engle Distinguished Chair in Economic Security Research,
American College,"Delaney, Michael M.",Prof,YZ#,PHD,76,Penn,,"Director, Instructional Technology, Center for Distance Learning",
American College,"Duska, Ronald F.",Prof,,PHD,70,Nrthwstrn,,Charles Lamont Post Chair of Ethics and the Profession,
American College,"Ivers, James F. III",Prof,DXYZ,LLM,81,Boston U,,,
American College,"McFadden, John J.",Prof,DXY,JD,72,Harvard,,,
American College,"Stone, Gary K.",Prof,YZ#,PHD,66,Penn,,Executive VP,
American College,"Beam, Burton T. Jr.",Assoc,X#,MA,70,Penn,,,
American College,"Cordell, David M.",Assoc,MNSX,PHD,80,Tx-Austin,,,
American College,"DiLullo, Charles S.",Assoc,CDE#,MBA,68,Drexel,,Jarrett L. Davis Distinguished Professorship in Finance and Accounting,
American College,"Dziadosz, Thomas A.",Assoc,S,MA,64,Conn,,,
American College,"Fontaine, Constance J.",Assoc,XY,LLM,91,Villanova,,,
American College,"Graves, Edward E.",Assoc,DFN#,MA,75,Penn,,Charles J. Zimmerman Chair in Life Insurance Education,
American College,"Langdon, Thomas P.",Assoc,XY,LLM,97,Villanova,,,
American College,"Poole, Barbara S.",Assoc,NXY,PHD,99,Conn,,,
American College,"Graber, Robert S.",Asst,AGMN,PHD,97,N Orleans,,,
American College,"Hoffman, Paul",Asst,BKNS,MA,99,Penn,,,
American College,"Mulroy, William T. Jr.",Asst,#,MBA,71,Kansas,,,
American University,"Roomkin, Myron J.",Dean,Mgt,PHD,71,Wisconsin,1998,,
American University,"Losey, Robert L.",C-Ac,LP,PHD,77,Kentucky,1982,,
American University,"Baker, H. Kent",Prof,THM,DBA,72,Maryland,1975,University Professor,
American University,"Benjamin, John D.",Prof,&,PHD,88,LSU,1990,,
American University,"Chinloy, Peter T.",Prof,&,PHD,74,Harvard,1991,Realtor Chair and Homer Hoyt Faculty Fellow,
American University,"Edelman, Richard B.",Prof,TM,DBA,75,Maryland,1983,,
American University,"Kumar, P. C.",Assoc,CMR,PHD,75,Penn St,1980,,
American University,"Riddick, Leigh A.",Assoc,MNW,PHD,88,Wisconsin,1989,,
American University,"Anderson, R.",Asst,AD,PHD,98,Tx A&M,1999,,
American University,"Robe, Michel A.",Asst,ABDW,PHD,95,Car Mellon,1999,,
American Grad Sch Intl Mgt,"Herberger, A. Roy Jr.",Pres,,DBA,71,Colorado,,,
American Grad Sch Intl Mgt,"Griffiths, Mark D.",C-Ac,KPQ,PHD,90,W Ontario,,,
American Grad Sch Intl Mgt,"Booth, Lena",Assoc,,PHD,91,Ariz St,,,
American Grad Sch Intl Mgt,"Heathcotte, Bryan",Assoc,,DBA,70,Indiana,,,
American Grad Sch Intl Mgt,"Moffett, Michael H.",Assoc,,PHD,85,Colorado,1994,,
American Grad Sch Intl Mgt,"Sundaram, Anant K.",Assoc,,PHD,87,Yale,,,
American Grad Sch Intl Mgt,"Tuzzolino, Frank A.",Assoc,,PHD,87,Ariz St,,,
American Grad Sch Intl Mgt,"Petitt, Barbara",Asst,,PHD,0,Grenoble,2000,,
American International Coll,"Somers, Trudy L.",Dean,,PHD,88,Michigan,1999,,1996-1997
American International Coll,"Stanio, Raymond F.",C-As,,MBA,64,Hartford,1983,,1996-1997
Andrews University,"Gibson, Ann",Dean,Atg,PHD,92,Wash St,9-92,,
Andrews University,"Gashugi, Leonard K.",C-Pr,Econ,PHD,93,Boston U,9-79,,
Andrews University,"Shepard, Delynne",Asst,,PHD,95,Purdue,1995,,
Andrews University,"Sprow, James",Asst,NWM,ABD,87,Wash St,,,
Angelo State University,"Butler, Michael W.",Dean,Econ,PHD,74,Arkansas,2001,,
Angelo State University,"Sunderman, Norman A.",H-Pr,Atg,DMA,69,Michigan,1987,,
Angelo State University,"Bankston, Thomas A.",Prof,EO,PHD,75,Florida,1974,,
Angelo State University,"Harlow, Forrest W.",Prof,E,PHD,76,North Tx,1983,Nathan and Sylvia Dansky Professor in Business,
Angelo State University,"Maddox, D. Pat",Assoc,U,PHD,82,Tx Tech,1988,,
Angelo State University,"McKinney, William",Asst,&,PHD,98,Tx A&M,1984,,
Angelo State University,"Fender, Johnny",Inst,Z,MA,88,AngeloSt,1986,,
Angelo State University,"McGaughy, Cheryl A.",Inst,M,MBA,76,Miss,1984,,
Angelo State University,"Hay, John",Lect,X,JD,72,Tx-Austin,2000,,
Appalachian State Univ,"Peacock, Kenneth E.",Dean,Atg,PHD,79,LSU,1983,,
Appalachian State Univ,"Goff, Delbert C.",C-Ac,EM,PHD,91,Fla St,8-91,,
Appalachian State Univ,"Bowden, Elbert V.",Prof,PV,PHD,57,Duke,1977,Alfred E. Adams Distinguished Professorship in Banking,
Appalachian State Univ,"Davis, Harry M.",Prof,PV,PHD,76,Georgia,1977,N. C. Bankers Association Chairholder,
Appalachian State Univ,"Cox, Don R.",Assoc,MOTA,PHD,94,Fla St,8-93,,
Appalachian State Univ,"Hamilton, Karen L.",Assoc,#,PHD,91,Fla St,2000,"Director, Brentley Risk and Insurance Center",
Appalachian State Univ,"Keasler, Terrill R.",Assoc,DE,PHD,87,Alabama,1987,,
Appalachian State Univ,"Wood, David D.",Assoc,#APX,DBA,85,La Tech,1985,Joe Freeman Professor in Insurance,
Appalachian State Univ,"Roten, Iven C.",Asst,,,1,Kentucky,2001,,
Arcadia University,"Biggs, William D.",C-Pr,H,PHD,74,Penn St,8-80,,
Arcadia University,"Halpin, Annette L.",Asst,FA,PHD,,Drexel,9-84,,
University of Arizona,"Zupan, Mark",Dean,Econ,PHD,87,MIT,1996,,
University of Arizona,"Lamoureux, Christopher G.",H-Pr,LNOT,PHD,85,Syracuse,1994,,
University of Arizona,"Carleton, Willard T.",Prof,,PHD,62,Wisconsin,1984,,
University of Arizona,"Dyl, Edward A.",Prof,,PHD,73,Stanford,1987,,
University of Arizona,"Busaba, Walid Y.",Asst,AQ,PHD,95,Boston C,1995,,
University of Arizona,"Jiang, George",Asst,,PHD,98,W Ontario,2001,,
University of Arizona,"Schnitzlein, Charles R.",Asst,TQ,PHD,94,Wash U,1996,,
University of Arizona,"Yan, Shu",Asst,,PHD,99,UCLA,2000,,
University of Arizona,"Yao, Tong",Asst,,PHD,1,Boston C,2001,,
University of Arizona,"Garrison, Sharon H.",Lect,,PHD,83,Tx-Arlin,1999,,
University of Arizona,"Ruscher, Charles B.",Lect,PT,PHD,98,Arizona,1999,,
University of Arizona,"Erdal, Sina",Visit,,ABD,,Boston C,2001,,
Arizona State University,"Penley, Larry E.",Dean,Mgt,PHD,76,Georgia,1985,,
Arizona State University,"Kaufman, Herbert M.",C-Pr,PQRT,PHD,72,Penn St,1973,,
Arizona State University,"Booth, James R.",Prof,AGPQ,PHD,81,Alabama,1980,,
Arizona State University,"Coles, Jeffrey L.",Prof,ABDG,PHD,84,Stanford,1994,,
Arizona State University,"Poe, Jerry B.",Prof,FH,DBA,63,Harvard,1974,,
Arizona State University,"Sushka, Marie E.",Prof,BGPQ,PHD,74,Geotown,1984,,
Arizona State University,"Cesta, John R.",Assoc,DEFC,DBA,74,Fla St,1975,,
Arizona State University,"Gallinger, George W.",Assoc,BFHI,PHD,77,Purdue,8-77,,
Arizona State University,"Hertzel, Michael G.",Assoc,ADGV,PHD,88,Oregon,1987,,
Arizona State University,"Hoffmeister, J. Ronald",Assoc,GKT,PHD,72,Illinois,1983,,
Arizona State University,"Wilt, Glenn A. Jr.",Assoc,FMX,PHD,63,Michigan,1963,,
Arizona State University,"Deli, Daniel N.",Asst,AD,PHD,90,Ariz St,2001,,
Arizona State University,"Griffin, John M.",Asst,JNUW,PHD,97,Ohio St,1997,,
Arizona State University,"Juergens, Jennifer L.",Asst,JOST,PHD,1,Penn St,2001,,
Arizona State University,"Martin, Spencer",Asst,EMNS,PHD,98,Penn,2000,,
Arizona State University,"Nardari, Federico",Asst,JKNV,PHD,99,Wash U,1999,,
Arizona State University,"Perry, Tod",Asst,ABG,PHD,99,N Carol,1998,,
Arizona State University,"Simonson, Mark",VAsst,BDGQ,PHD,97,Oregon,1998,,
Arizona State University,"Durham, Greg",Lect,GLQT,MBA,94,Tx-Austin,2000,,
Arizona State Univ West,"Forster, Bruce A.",Dean,Econ,PHD,74,Australi,2000,,
Arizona State Univ West,"Greenhut, John G.",Assoc,MGPU,PHD,72,Tx A&M,8-89,,
Arizona State Univ West,"Noronha, Gregory M.",Asst,,PHD,90,Va Tech,8-95,,
Arizona State Univ West,"Sen, Nilanjan",Asst,,PHD,90,Va Tech,8-92,,
University of Arkansas,"Williams, Doyle Z.",Dean,Atg,PHD,65,LSU,1993,,
University of Arkansas,"Lee, Wayne Y.",C-Pr,H,PHD,73,UCLA,1998,Alice Walton Chair Professor,
University of Arkansas,"Dominick, John A.",Prof,,PHD,67,Alabama,1970,Arkansas Bankers Assoc Chair in Banking & J.W. Bellamey Chair of Bank & Fin,
University of Arkansas,"Liu, Pu",Prof,KL,PHD,85,Indiana,1984,Harold Dulan Chair,
University of Arkansas,"Millar, James A.",Prof,,PHD,71,Oklahoma,1970,Dillard Chair of Corporate Finance,
University of Arkansas,"Hearth, Douglas P.",Assoc,NSXF,PHD,82,Iowa,1989,,
University of Arkansas,"Perry, Larry G.",Assoc,,DBA,80,La Tech,1982,,
University of Arkansas,"Rimbey, James N.",Assoc,,DBA,88,Kentucky,1988,,
University of Arkansas,"Carter, Michael",Asst,,PHD,94,Tx A&M,1992,,
University of Arkansas,"Jandik, Tomas",Asst,,PHD,1,Pittsburgh,2000,,
University of Arkansas,"Kruse, Timothy",Asst,,PHD,97,Purdue,2001,,
University of Arkansas,"Rennie, Craig",Asst,,PHD,1,Oregon,2001,,
U of Arkansas at Little Rock,"Goolsby, William C.",Dean,&,PHD,74,Wi-Milwa,7-96,,
U of Arkansas at Little Rock,"Terry, Andy",C-Ac,,PHD,90,Michigan,1990,,
U of Arkansas at Little Rock,"Chisholm, Roger K.",Prof,,PHD,67,Chicago,6-85,,
U of Arkansas at Little Rock,"Lindeman, John",Prof,,PHD,68,Duke,1975,,
U of Arkansas at Little Rock,"Vibhakar, Ashvin",Prof,,PHD,80,Arkansas,8-81,,
U of Arkansas at Little Rock,"Holland, Larry C.",Assoc,,PHD,94,Okla St,8-95,,
U of Arkansas at Little Rock,"Hall, John R. Jr.",Asst,,PHD,92,Indiana,1997,,
U of Arkansas at Monticello,"Rhee, Anthony",Dean,Mgt,PHD,79,Kent St,,,
U of Arkansas at Monticello,"Nippani, Srinivas",Asst,,PHD,99,Arkansas,,,
U of Arkansas at Pine Bluff,"Honeycutt, Andrew E.",Dean,,DBA,75,Harvard,1999,,1998-1999
U of Arkansas at Pine Bluff,"King, Jules E.",Assoc,,PHD,85,Stanford,1992,,1998-1999
Arkansas State University,"Duggar, Jan W.",Dean,Econ,PHD,67,Fla St,2000,,2000-2001
Arkansas State University,"Washam, James O.",C-Ac,KLIU,PHD,93,Miss,1989,,2000-2001
Arkansas State University,"Taylor, Richard W.",Prof,KMNO,PHD,76,La Tech,1984,,2000-2001
Arkansas State University,"Talib, Fuad",Asst,X#,PHD,85,Nebraska,1982,,2000-2001
Arkansas State University,"Carr, Rebecca",Inst,CL&,MS,86,Illinois,1988,,2000-2001
Arkansas Tech University,"Tyler, Thomas P.",Dean,Econ,PHD,80,Arkansas,1967,,
Arkansas Tech University,"Roach, David W.",C-Pr,Mgt,PHD,91,Arkansas,1983,,
Arkansas Tech University,"Benefield, Michael E.",Assoc,CAUX,PHD,89,Purdue,1995,,
Ashland University,"Sears, Paul A.",Dean,HPXS,PHD,90,Case Wes,8-97,,
Ashland University,"Pittenger, Khushwnat, K.",C-Pr,Mgt,PHD,88,Cincinnati,8-87,,
Ashland University,"Valente, Sharon",Asst,YFC,PHD,97,Akron,8-91,,
Ashland University,"Venkataramanyu, Sivakumar",Asst,,PHD,97,U Miami,9-99,,
Ashland University,"Harvey, Tom",Inst,,MBA,,Case Wes,8-99,,
Assumption College,"Hickey, Kevin L.",C-Ac,,MLA,76,Harvard,1972,,
Assumption College,"Fahy, Coleen A.",Assoc,,PHD,89,SUNY-Bin,1992,,
Assumption College,"Kanarelis, Demetrius",Assoc,,PHD,83,Clark,1983,,
Assumption College,"Lynn, Stuart R.",Assoc,VW,PHD,71,N Carol,1987,,
Assumption College,"White, Thomas J.",Assoc,R,PHD,89,SUNY-Bin,1994,,
Assumption College,"McGee, Dylan",Asst,AU,PHD,0,N Carol,2001,,
Assumption College,"Charlebois, Cecile M.",Lect,RY&,ABD,,Clark,1980,,
Assumption College,"Moshee, William",Lect,F,PHD,1,Clark,1999,,
Athens State University,"Gulbro, Robert D.",Dean,Mgt,DBA,91,Miss St,1994,,
Athens State University,"Baugh, LaDonis",Asst,F,MBA,93,Al-Huntsv,1994,,
Athens State University,"Wilkes, Bill",Asst,V,DA,98,Mid Tenn,1996,,
Auburn University,"Jahera, John S. Jr",Dean$,ADG,PHD,81,Georgia,9-80,Colonial Bank Distinguished Professor,
Auburn University,"Page, Daniel E.",H-Pr$,ADE,PHD,81,Georgia,6-84,,
Auburn University,"Barth, James R.",Prof,PS,PHD,72,Ohio St,9-89,Lowder Eminent Scholar Professor,
Auburn University,"Swidler, Steven",Prof,O,PHD,80,Brown,8-01,,
Auburn University,"Colquitt, L. Lee",Assoc,#,PHD,95,Georgia,9-95,,
Auburn University,"Crutchley, Claire E.",Assoc,A,PHD,87,Va Tech,6-89,,
Auburn University,"Hudson, Carl D.",Assoc,PT,PHD,88,Ariz St,9-88,,
Auburn University,"Jensen, Marlin R. H.",Assoc,EH,PHD,88,Tx A&M,9-88,,
Auburn University,"Pugh, William N.",Assoc,DG,PHD,86,Fla St,9-86,,
Auburn University,"Hindelmann, Christoph",Asst,R,PHD,1,Rochester,8-01,,
Auburn University,"Marshall, Beverly",Asst,DH,PHD,98,Geo St,9-98,,
Auburn University,"Caudill, Janice",Inst,,MS,95,Auburn,9-97,,
Auburn University,"Crutchley, Darrell L.",Inst,,MBA,83,Va Tech,9-97,,
Auburn University,"Musselwhite, Troy C.",Inst,&,JD,62,Stetson,9-97,,
Auburn Univ Montgomery,"Goodson, Jane",Dean$,Mgt,PHD,86,Alabama,1986,,
Auburn Univ Montgomery,"Gurley, A. Lee",H-Ac,Atg,PHD,96,Miss,2000,,
Auburn Univ Montgomery,"Johnson, Raymond M.",Prof,PRUK,PHD,73,Okla St,1970,,
Auburn Univ Montgomery,"Lange, David R.",Prof,KXY#,DBA,89,Kentucky,1990,,
Auburn Univ Montgomery,"Belcher, Terry K.",Inst,ABHL,ABD,,Alabama,1997,,
Augusta State University,"Widener, Jack K.",Dean,,MBA,91,Geo St,,,
Augusta State University,"Greene, Joseph D.",Assoc,MNX&,MA,,Georgia,1992,Cree-Walker Chair of Business Administration,
Augusta State University,"Ziobrowski, Brigitte J.",Assoc,HRU,PHD,91,Kent St,1991,,
Augusta State University,"Basciano, Peter M.",Asst,,PHD,99,Kent St,1999,,
Augustana College IL,"Jurasek, Richard T.",Dean,Econ,PHD,76,Ohio St,9-98,,
Augustana College IL,"Lonergan, Janis",C-Pr,,PHD,78,S Illinois,9-76,,
Augustana College IL,"Hammermeister, John F.",Asst,,ABD,,Nova SE,9-82,,
Augustana College SD,"Oppegard, Anne M.",C-Ac,Atg,PHD,97,Nebraska,1988,,
Augustana College SD,"Bolen, Dennis I.",Asst,1 CDEX,PHD,0,N Dakota,1988,,
Aurora University,"Carroll, Michael",D,,PHD,97,Loyola,,,
Aurora University,"Brooks, Ileana",Assoc,,PHD,88,N Illinois,,,
Aurora University,"Eisinger,",Asst,,DBA,82,Indiana,2001,,
Austin Peay State University,"Newport, Stephanie",Dean$,Mgt,PHD,90,Tx-Arlin,1993,,
Austin Peay State University,"Phillips, Michael D.",Prof,,DBA,92,Miss St,1990,,
Austin Peay State University,"Richards, Charles F.",Prof,,PHD,91,Cincinnati,1991,,
Austin Peay State University,"Clark, Roger",Assoc,,PHD,92,Tennessee,1995,,
Azusa Pacific University,"Bezjian, Ilene L.",Dean,Mktg,DBA,86,US Intl,9-91,,
Azusa Pacific University,"Jeng, Jau-Lian",Assoc,,PHD,91,Ca-SnDgo,9-98,,
Azusa Pacific University,"Conover, Roger B.",Asst,,MA,82,Ca-SnDgo,1-91,,
Azusa Pacific University,"Hamachi, Wan",Inst,,MBA,92,CS-Fuller,9-00,,
Babson College,"Fetters, Michael L.",Dean,Atg,PHD,73,Wisconsin,9-77,,2000-2001
Babson College,"Harrington, Diana R.",Prof,WMTV,DBA,77,Virginia,9-93,Distinguished Professor,2000-2001
Babson College,"Bethel, Jennifer",Assoc,HCG,PHD,90,UCLA,9-94,,2000-2001
Babson College,"Edmunds, John C.",Assoc,UVW,DBA,77,Harvard,,,2000-2001
Babson College,"Hevert, Kathleen T.",Assoc,C,PHD,87,N Carol,,,2000-2001
Babson College,"Kimball, Ralph C.",Assoc,PN,PHD,77,Berkeley,9-87,,2000-2001
Babson College,"Sirri, Erik R.",Assoc,S,PHD,90,UCLA,,,2000-2001
Babson College,"Bliss, Richard",Asst,,PHD,,Indiana,,,2000-2001
Babson College,"Feinstein, Steven P.",Asst,,PHD,89,Yale,,,2000-2001
Babson College,"Leleux, Benoit F.",Asst,DAGI,PHD,94,INSEAD,1-94,,2000-2001
Babson College,"Potter, Mark",Asst,,PHD,,Mass,,,2000-2001
Babson College,"Stephenson, Craig A.",VAsst,,PHD,94,Arizona,,,2000-2001
Babson College,"Stoller, Linda",Lect,&,LLM,84,Boston U,9-91,,2000-2001
Baldwin-Wallace College,"Rea, Peter J.",C-Ac,,PHD,89,Akron,6-94,,
Baldwin-Wallace College,"Donahue, Thomas W.",Prof,CXFL,DBA,72,S Calif,,Boynton D. Murch Chair in Finance,
Baldwin-Wallace College,"Ehresman, Ronald L.",Prof,CI,MS,70,Case Wes,9-70,,
Baldwin-Wallace College,"Peck, Earl M.",Prof,UW,PHD,74,Colorado,,,
Baldwin-Wallace College,"DeVille, Susan C.",Assoc,FQ,PHD,89,Case Wes,1982,,
Baldwin-Wallace College,"McInerney, James",Asst,,MBA,85,Case Wes,9-87,,
Ball State University,"Richardson, Lynne D.",Dean,Mktg,PHD,89,Alabama,7-01,,2000-2001
Ball State University,"Mantripragada, Krishna G.",C-Pr,PT,PHD,71,Minnesota,9-79,,2000-2001
Ball State University,"Black, Joseph B.",Emer,AK,DBA,65,Indiana,1973,,2000-2001
Ball State University,"Fitzgerald, John F.",Prof,PX,PHD,71,Wisconsin,1984,Associate Dean,2000-2001
Ball State University,"Hoban, James P. Jr.",Prof,NH,PHD,76,Utah,9-76,,2000-2001
Ball State University,"Wells, Grant J.",Emer,KP,PHD,72,Indiana,9-66,,2000-2001
Ball State University,"Zivney, Terry L.",Prof,KLMN,PHD,84,Geo St,8-92,Maxon Distinguished Professor of Finance,2000-2001
Ball State University,"Avila, Steve",Assoc,,PHD,93,Fla St,8-93,,2000-2001
Ball State University,"Benkato, Omar M.",Assoc,CDEL,PHD,80,Cincinnati,8-89,,2000-2001
Ball State University,"Rathinasamy, Rathina S.",Assoc,GV,PHD,87,Tennessee,8-88,,2000-2001
Ball State University,"Sundaran, Srinivasan",Assoc,DL,PHD,90,Cincinnati,8-91,,2000-2001
Ball State University,"Baur, Michael N.",Asst,AD,PHD,91,Tx-Austin,1-90,,2000-2001
Ball State University,"Creviston, D. Carlene",Inst,XY,MA,62,Ball St,9-73,,2000-2001
University of Baltimore,"McCarthy, Anne M.",Dean,Mgt,PHD,92,Purdue,6-02,,
University of Baltimore,"Morse, Joel N.",D-Ac,L,PHD,78,Mass,8-87,,
University of Baltimore,"Ford, Deborah A.",Prof,DEI&,PHD,79,Penn,9-82,,
University of Baltimore,"Isberg, Steven C.",Assoc,DGFC,PHD,84,SUNY-Bin,8-88,,
University of Baltimore,"Andrea, George Y.",Asst,#,PHD,1,Cal Coast,8-98,,
University of Baltimore,"Benrud, Erik",Asst,LMN,PHD,97,Virginia,5-97,,
University of Baltimore,"Chen, Honghui",Asst,JMS,PHD,99,Va Tech,8-99,,
University of Baltimore,"Shrenk, Lawrence",Asst,ACL,PHD,1,Maryland,8-00,,
